baitID	intscore	rank	SIP
327060	200.104348716226	12598	0
25643	200.157487218826	12599	0
157359	200.284805303941	12600	0
339089	200.293997329532	12601	0
645078	200.528826565414	12602	0
522581	200.56075851508	12603	0
83782	200.570245863816	12604	0
219908	200.585069392555	12605	0
448823	200.808848848865	12606	0
119720	200.91506881395	12607	0
242648	201.103362462166	12608	0
284412	201.434109776322	12609	0
745942	201.502555311516	12610	0
35381	201.507398120108	12611	0
122858	201.646641571935	12612	0
321907	201.81886222115	12613	0
591045	201.895573973214	12614	0
231254	201.979272833196	12615	0
744655	202.12787658606	12616	0
120646	202.184469957841	12617	0
517915	202.235280663337	12618	0
172879	202.439191403884	12619	0
620010	202.454810267797	12620	0
145891	202.676213773307	12621	0
353922	202.85273334787	12622	0
120774	203.050200469063	12623	0
496019	203.056056702838	12624	0
397071	203.12695049798	12625	0
8712	203.211611370238	12626	0
341341	203.212420583265	12627	0
2497	203.264954645963	12628	0
129178	203.435643385205	12629	0
6008	203.487047572654	12630	0
89754	203.552019598758	12631	0
211702	203.560486310237	12632	0
512357	203.616706993016	12633	0
340084	203.67230434441	12634	0
775012	203.800152071904	12635	0
529669	203.859078544261	12636	0
338984	203.982785262319	12637	0
85598	203.995495988865	12638	0
598829	204.196475618559	12639	0
470128	204.206233261358	12640	0
352276	204.322985099225	12641	0
674837	204.674710186025	12642	0
345985	204.703190302252	12643	0
158354	204.719898525892	12644	0
401332	204.840883364123	12645	0
210914	204.84214275863	12646	0
553310	205.115983538607	12647	0
187113	205.224149987465	12648	0
337982	205.33202369127	12649	0
93224	205.44669095963	12650	0
119447	205.448448710191	12651	0
450613	205.478791314187	12652	0
12576	205.487737137224	12653	0
92802	205.879407263473	12654	0
645996	205.881606401286	12655	0
650374	205.89849506834	12656	0
45459	205.915718353307	12657	0
738050	206.035391704628	12658	0
280205	206.138327440088	12659	0
322200	206.148954629315	12660	0
287327	206.351527980644	12661	0
487251	206.770303901085	12662	0
120801	206.850983898587	12663	0
706223	206.857783588318	12664	0
116364	206.912242427005	12665	0
129075	206.969915542443	12666	0
618302	207.125046290928	12667	0
353923	207.203562755163	12668	0
282304	207.479509481471	12669	0
258212	207.588270196849	12670	0
613781	207.603262774836	12671	0
8392	207.707527211604	12672	0
56355	207.786170019994	12673	0
643335	207.786964557061	12674	0
180651	207.945206756354	12675	0
238601	208.182533675237	12676	0
598798	208.276656292301	12677	0
553183	208.629240472239	12678	0
287624	208.758432905655	12679	0
728860	208.765688240872	12680	0
382013	208.900934846633	12681	0
178559	209.081221264716	12682	0
322104	209.13352531962	12683	0
488124	209.193387562012	12684	0
135054	209.225456020327	12685	0
242759	209.310192102405	12686	0
357351	209.62781995475	12687	0
636679	209.884915892801	12688	0
12664	209.945438397662	12689	0
410200	209.990023494267	12690	0
558237	210.04096856713	12691	0
122933	210.255594561904	12692	0
589848	210.321726568327	12693	0
616555	210.430699890702	12694	0
23754	210.466469123763	12695	0
548937	210.578840109638	12696	0
