baitID	intscore	rank	SIP	MKSpecific
329375	12.5395594247801	3173	0	0
329381	11.8757318664818	2923	0	0
329384	51.9825268793265	7931	0	0
329390	263.347305019899	13031	0	0
329396	172.448852365402	11972	0	0
329414	62.014765975574	8592	0	0
329427	73.2438729213827	9217	0	0
329440	87.6456164089829	9818	0	0
329471	28.5085291918512	5727	0	0
329482	43.5413565089065	7296	0	0
329493	59.403372608405	8426	0	0
329524	12.9898980173748	3289	0	0
329529	24.4646685697503	5193	0	0
329531	8.37989225963597	2115	0	0
329535	10.7697233522403	2471	0	0
329542	6.42887690477709	1552	0	0
329549	58.6847003881371	8380	0	0
329551	21.6534672857341	4786	0	0
329553	47.0190468516334	7565	0	0
329556	72.9361184729791	9205	0	0
329564	5.14242414658822	250	0	0
329569	6.85291530208229	1764	0	0
329574	35.5556240328777	6520	0	0
329576	12.1738574668305	3036	0	0
329577	11.2161262742322	2655	0	0
329583	14.4281118575538	3569	0	0
329584	14.0559411552487	3513	0	0
329590	5.49045645185984	779	0	0
329593	11.292003886231	2678	0	0
329601	29.9154859945285	5883	0	0
329602	16.6103470133148	3894	0	0
329609	52.7777959726744	7987	0	0
329616	26.7408762701316	5473	0	0
329619	80.6432172911876	9550	0	0
329620	28.916695993161	5777	0	0
329621	33.5472356973543	6277	0	0
329632	39.2832028820528	6927	0	0
329634	17.3882532851098	4072	0	0
329645	6.01146489196445	1277	0	0
329651	17.897931605293	4170	0	0
329656	20.3884867504115	4609	0	0
329665	18.0898372687921	4214	0	0
329667	5.04630344457939	69	0	0
329679	6.0946839706565	1328	0	0
329684	5.33173055759341	548	0	0
329686	89.8714995857399	9909	0	0
329744	5.97721490807471	1254	0	0
329756	5.02168888315177	37	0	0
329757	13.1204679123989	3321	0	0
329760	25.3519560884828	5304	0	0
329781	6.2891540619565	1470	0	0
329783	5.82329165515994	1131	0	0
329805	15.5165903132734	3688	0	0
329808	7.52534235268565	1954	0	0
329810	5.06126956098169	96	0	0
329813	45.4046278843074	7448	0	0
329823	34.1068899633925	6336	0	0
329830	77.3442134669488	9398	0	0
329837	5.85297607180997	1159	0	0
329852	159.637114609714	11721	0	0
329865	53.5800125044997	8047	0	0
329871	10.4206231664654	2346	0	0
329886	5.18686635558819	325	0	0
329892	6.12639328391448	1353	0	0
329905	31.6003470953049	6080	0	0
329907	89.2074232397152	9885	0	0
329929	39.6013455653583	6953	0	0
329930	56.5558672982834	8251	0	0
329931	19.3802675848999	4456	0	0
329937	20.6159032676199	4639	0	0
329938	6.43191921687659	1554	0	0
329945	5.80847384054832	1118	0	0
329955	40.1314997079325	7010	0	0
329995	6.51790081571635	1605	0	0
330005	31.3869268972999	6058	0	0
330039	29.962868267189	5890	0	0
330069	5.5163279206668	805	0	0
330079	12.8188118796724	3247	0	0
330085	5.48626671402084	771	0	0
330086	12.3518858152003	3113	0	0
330087	11.1449439841847	2630	0	0
330099	5.45829301402369	729	0	0
330100	29.5827405522851	5846	0	0
330103	18.0508452908795	4203	0	0
330107	11.4310622403742	2739	0	0
330109	8.73935478669234	2165	0	0
330111	13.9605990108697	3502	0	0
330114	20.5326042259676	4628	0	0
330120	92.4195557548361	9997	0	0
330133	42.0775530513508	7186	0	0
330134	14.8961610874613	3619	0	0
330146	106.796056461806	10494	0	0
330147	15.99513991632	3766	0	0
330155	18.715495465728	4352	0	0
330158	135.600492362266	11270	0	0
330163	17.9201254971095	4179	0	0
330168	276.921991904638	13134	1	1
330184	36.6976939574107	6647	0	0
330197	44.1273829549782	7338	0	0
330200	72.5889549162853	9191	0	0
330204	34.9352365183817	6453	0	0
330240	18.4626631614042	4303	0	0
330244	35.1075274660314	6471	0	0
330251	5.17478522899397	306	0	0
330259	79.1999499349061	9489	0	0
330261	16.4362283831978	3854	0	0
330265	11.3959677191815	2729	0	0
330266	11.9430630882716	2953	0	0
330267	18.2379378568782	4242	0	0
330268	6.06399529208273	1308	0	0
330273	12.5140855407005	3160	0	0
330279	6.9955207863131	1815	0	0
330285	5.59195329052799	888	0	0
330286	21.0566516274488	4704	0	0
330290	19.6394340265491	4508	0	0
